accession	organism	kingdom	length	cleavage_site
P42264	Rattus norvegicus (Rat)	Metazoa	919	31
P42292	Gallus gallus (Chicken)	Metazoa	588	33
P42813	Arabidopsis thaliana (Mouse-ear cress)	Plants	230	22
P42830	Homo sapiens (Human)	Metazoa	114	36
P43121	Homo sapiens (Human)	Metazoa	646	23
P43307	Homo sapiens (Human)	Metazoa	286	18
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	92	20
P43555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	445	28
P43626	Homo sapiens (Human)	Metazoa	348	21
P43652	Homo sapiens (Human)	Metazoa	599	21
P45452	Homo sapiens (Human)	Metazoa	471	19
P45478	Bos taurus (Bovine)	Metazoa	306	27
P45561	Sus scrofa (Pig)	Metazoa	189	16
P45658	Androctonus australis (Sahara scorpion)	Metazoa	84	19
P45697	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	84	19
P45881	Bothrops jararacussu (Jararacussu)	Metazoa	138	16
P47001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	227	21
P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	298	19
P47710	Homo sapiens (Human)	Metazoa	185	15
P48096	Salmo salar (Atlantic salmon)	Metazoa	210	23
P48307	Homo sapiens (Human)	Metazoa	235	22
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	350	22
P48740	Homo sapiens (Human)	Metazoa	699	19
P48745	Homo sapiens (Human)	Metazoa	357	31
P48765	Bos taurus (Bovine)	Metazoa	970	32
P48819	Sus scrofa (Pig)	Metazoa	459	19
P49121	Agkistrodon contortrix laticinctus (Broad-banded copperhead) (Agkistrodon mokasen laticinctus)	Metazoa	137	16
P49182	Mus musculus (Mouse)	Metazoa	478	23
P49256	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	356	44
P49257	Homo sapiens (Human)	Metazoa	510	30
P49259	Bos taurus (Bovine)	Metazoa	1463	20
P49278	Dermatophagoides pteronyssinus (European house dust mite)	Metazoa	146	17
P49755	Homo sapiens (Human)	Metazoa	219	31
P49763	Homo sapiens (Human)	Metazoa	221	18
P49767	Homo sapiens (Human)	Metazoa	419	31
P49862	Homo sapiens (Human)	Metazoa	253	22
P50228	Mus musculus (Mouse)	Metazoa	132	40
P50229	Rattus norvegicus (Rat)	Metazoa	92	23
P50895	Homo sapiens (Human)	Metazoa	628	31
P51460	Homo sapiens (Human)	Metazoa	131	20
P51654	Homo sapiens (Human)	Metazoa	580	24
P51688	Homo sapiens (Human)	Metazoa	502	20
P51740	Rattus norvegicus (Rat)	Metazoa	551	19
P51868	Rattus norvegicus (Rat)	Metazoa	413	19
P52013	Caenorhabditis elegans	Metazoa	204	22
P52193	Bos taurus (Bovine)	Metazoa	417	17
P52706	Prunus serotina (Black cherry)	Plants	563	27
P52798	Homo sapiens (Human)	Metazoa	201	25
P52823	Homo sapiens (Human)	Metazoa	247	17
P53366	Sus scrofa (Pig)	Metazoa	188	21
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	420	24
P53634	Homo sapiens (Human)	Metazoa	463	24
P54318	Rattus norvegicus (Rat)	Metazoa	468	16
P54660	Dictyostelium discoideum (Social amoeba)	Other	143	22
P54762	Homo sapiens (Human)	Metazoa	984	17
P54803	Homo sapiens (Human)	Metazoa	685	42
P54837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	211	20
P54900	Rattus norvegicus (Rat)	Metazoa	215	29
P55000	Homo sapiens (Human)	Metazoa	103	22
P55058	Homo sapiens (Human)	Metazoa	493	17
P55083	Homo sapiens (Human)	Metazoa	255	21
P55145	Homo sapiens (Human)	Metazoa	182	24
P55203	Bos taurus (Bovine)	Metazoa	1110	56
P55773	Homo sapiens (Human)	Metazoa	120	21
P55774	Homo sapiens (Human)	Metazoa	89	20
P55899	Homo sapiens (Human)	Metazoa	365	23
P56201	Oryctolagus cuniculus (Rabbit)	Metazoa	797	24
P56202	Homo sapiens (Human)	Metazoa	376	21
P56513	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	92	20
P56637	Hottentotta judaicus (Black scorpion) (Buthotus judaicus)	Metazoa	94	18
P56722	Bos taurus (Bovine)	Metazoa	979	34
P57087	Homo sapiens (Human)	Metazoa	298	28
P58154	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	Metazoa	229	19
P58738	Zea mays (Maize)	Plants	269	24
P59665	Homo sapiens (Human)	Metazoa	94	19
P60042	Rattus norvegicus (Rat)	Metazoa	116	24
P60212	Tityus obscurus (Amazonian scorpion) (Tityus cambridgei)	Metazoa	87	20
P60214	Tityus obscurus (Amazonian scorpion) (Tityus cambridgei)	Metazoa	86	20
P60266	Centruroides suffusus (Durango bark scorpion)	Metazoa	87	19
P60568	Homo sapiens (Human)	Metazoa	153	20
P60615	Bungarus multicinctus (Many-banded krait)	Metazoa	95	21
P60770	Naja atra (Chinese cobra)	Metazoa	83	21
P60775	Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata)	Metazoa	83	21
P61312	Rattus norvegicus (Rat)	Metazoa	146	25
P61626	Homo sapiens (Human)	Metazoa	148	18
P61769	Homo sapiens (Human)	Metazoa	119	20
P61823	Bos taurus (Bovine)	Metazoa	150	26
P61855	Drosophila melanogaster (Fruit fly)	Metazoa	79	22
P61870	Penicillium camemberti	Fungi	305	26
P61916	Homo sapiens (Human)	Metazoa	151	19
P62022	Crotalus durissus terrificus (South American rattlesnake)	Metazoa	138	16
P62023	Crotalus scutulatus scutulatus (Mojave rattlesnake)	Metazoa	138	16
P62694	Trichoderma reesei (Filamentous fungus) (Hypocrea jecorina)	Fungi	513	17
P63090	Rattus norvegicus (Rat)	Metazoa	168	32
P63153	Sus scrofa (Pig)	Metazoa	146	23
P67861	Daboia russelii (Russel's viper) (Vipera russelii)	Metazoa	144	24
P67875	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	Fungi	176	27
P67930	Ovis aries (Sheep)	Metazoa	217	27
P67970	Gallus gallus (Chicken)	Metazoa	107	24
P78556	Homo sapiens (Human)	Metazoa	96	26
P78581	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	Fungi	588	18
P79073	Trichoderma reesei (Filamentous fungus) (Hypocrea jecorina)	Fungi	86	15
P79208	Ovis aries (Sheep)	Metazoa	603	16
P79263	Sus scrofa (Pig)	Metazoa	921	27
P79762	Gallus gallus (Chicken)	Metazoa	437	20
P80035	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	398	19
P80067	Rattus norvegicus (Rat)	Metazoa	462	24
P80098	Homo sapiens (Human)	Metazoa	99	23
P80108	Homo sapiens (Human)	Metazoa	840	23
P80109	Bos taurus (Bovine)	Metazoa	839	23
P80162	Homo sapiens (Human)	Metazoa	114	37
P80188	Homo sapiens (Human)	Metazoa	198	20
P80221	Bos taurus (Bovine)	Metazoa	112	36
P80311	Bos taurus (Bovine)	Metazoa	216	33
P80370	Homo sapiens (Human)	Metazoa	383	23
P80384	Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor)	Metazoa	141	16
P80746	Bos taurus (Bovine)	Metazoa	1048	30
P80747	Bos taurus (Bovine)	Metazoa	800	24
P80963	Bothriechis schlegelii (Eyelash palm pitviper)	Metazoa	137	16
P81054	Grifola frondosa (Maitake) (Polyporus frondosus)	Fungi	348	18
P81058	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	Metazoa	82	19
P81160	Drosophila melanogaster (Fruit fly)	Metazoa	54	21
P81294	Juniperus ashei (Ozark white cedar)	Plants	367	21
P81382	Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	Metazoa	516	18
P81383	Ophiophagus hannah (King cobra) (Naja hannah)	Metazoa	491	20
P81446	Viscum album (European mistletoe)	Plants	564	33
P81534	Homo sapiens (Human)	Metazoa	67	22
P81605	Homo sapiens (Human)	Metazoa	110	19
P81608	Sus scrofa (Pig)	Metazoa	191	16
P81649	Sus scrofa (Pig)	Metazoa	153	26
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14
P82114	Bothrops moojeni (Lance-headed viper) (Caissaca)	Metazoa	138	16
P82290	Anopheles gambiae (African malaria mosquito)	Metazoa	58	23
P82683	Viscum album (European mistletoe)	Plants	569	33
P82935	Naja kaouthia (Monocled cobra) (Naja siamensis)	Metazoa	86	21
P83403	Glossina morsitans morsitans (Savannah tsetse fly)	Metazoa	63	23
P83519	Bothrops jararacussu (Jararacussu)	Metazoa	159	24
P83673	Crassostrea virginica (Eastern oyster)	Metazoa	184	20
P83869	Drosophila melanogaster (Fruit fly)	Metazoa	46	22
P83886	Allium sativum (Garlic)	Plants	181	30
P84516	Sorghum bicolor (Sorghum) (Sorghum vulgare)	Plants	362	31
P84777	Tityus discrepans (Venezuelan scorpion)	Metazoa	61	23
P84810	Buthus occitanus tunetanus (Common European scorpion) (Buthus tunetanus)	Metazoa	91	22
P85841	Tityus serrulatus (Brazilian yellow scorpion)	Metazoa	403	19
P86100	Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii)	Metazoa	410	25
P86408	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	Metazoa	85	19
P93484	Pisum sativum (Garden pea) (Lathyrus oleraceus)	Plants	623	22
P93680	Persea americana (Avocado)	Plants	326	25
P97430	Mus musculus (Mouse)	Metazoa	131	25
P97710	Rattus norvegicus (Rat)	Metazoa	509	31
P97884	Rattus norvegicus (Rat)	Metazoa	96	26
P98064	Mus musculus (Mouse)	Metazoa	704	24
P98066	Homo sapiens (Human)	Metazoa	277	17
P98172	Homo sapiens (Human)	Metazoa	346	27
Q00193	Oryctolagus cuniculus (Rabbit)	Metazoa	540	24
Q00657	Rattus norvegicus (Rat)	Metazoa	2326	29
Q00954	Rattus norvegicus (Rat)	Metazoa	218	18
Q01129	Rattus norvegicus (Rat)	Metazoa	354	16
Q01151	Homo sapiens (Human)	Metazoa	205	19
Q01172	Aspergillus niger	Fungi	379	20
Q01460	Rattus norvegicus (Rat)	Metazoa	367	23
Q01638	Homo sapiens (Human)	Metazoa	556	18
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	Fungi	463	18
Q01965	Mus musculus (Mouse)	Metazoa	654	47
Q02083	Homo sapiens (Human)	Metazoa	359	28
Q02246	Homo sapiens (Human)	Metazoa	1040	30
Q02471	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	138	16
Q02567	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Fungi	378	21
Q02596	Mus musculus (Mouse)	Metazoa	151	19
Q02747	Homo sapiens (Human)	Metazoa	115	21
Q02763	Homo sapiens (Human)	Metazoa	1124	22
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	286	19
Q02809	Homo sapiens (Human)	Metazoa	727	18
Q03178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	341	18
Q03180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	325	18
Q03405	Homo sapiens (Human)	Metazoa	335	22
Q04756	Homo sapiens (Human)	Metazoa	655	35
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	219	22
Q05895	Mus musculus (Mouse)	Metazoa	956	21
Q05927	Bos taurus (Bovine)	Metazoa	574	26
Q05928	Mus musculus (Mouse)	Metazoa	177	31
Q06703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	312	44
Q07011	Homo sapiens (Human)	Metazoa	255	23
Q07092	Homo sapiens (Human)	Metazoa	1604	21
Q07310	Rattus norvegicus (Rat)	Metazoa	1578	27
Q07325	Homo sapiens (Human)	Metazoa	125	22
Q07654	Homo sapiens (Human)	Metazoa	80	21
Q08334	Homo sapiens (Human)	Metazoa	325	19
Q08380	Homo sapiens (Human)	Metazoa	585	18
Q08481	Mus musculus (Mouse)	Metazoa	727	17
Q08830	Homo sapiens (Human)	Metazoa	312	22
Q08879	Mus musculus (Mouse)	Metazoa	705	29
Q09098	Mus musculus (Mouse)	Metazoa	99	23
Q09131	Glycine max (Soybean) (Glycine hispida)	Plants	464	30
Q09140	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	Fungi	1448	18
Q09332	Drosophila melanogaster (Fruit fly)	Metazoa	1548	22
Q10588	Homo sapiens (Human)	Metazoa	318	32
Q10746	Rattus norvegicus (Rat)	Metazoa	101	32
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	133	18
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	444	46
Q12841	Homo sapiens (Human)	Metazoa	308	20
Q13007	Homo sapiens (Human)	Metazoa	206	51
Q13145	Homo sapiens (Human)	Metazoa	260	20
Q13162	Homo sapiens (Human)	Metazoa	271	37
Q13231	Homo sapiens (Human)	Metazoa	466	21
Q13421	Homo sapiens (Human)	Metazoa	622	36
Q13433	Homo sapiens (Human)	Metazoa	755	28
Q13445	Homo sapiens (Human)	Metazoa	227	23
Q13478	Homo sapiens (Human)	Metazoa	541	18
Q13651	Homo sapiens (Human)	Metazoa	578	21
Q13683	Homo sapiens (Human)	Metazoa	1181	33
Q14002	Homo sapiens (Human)	Metazoa	265	35
Q14112	Homo sapiens (Human)	Metazoa	1375	30
Q14210	Homo sapiens (Human)	Metazoa	128	20
Q14392	Homo sapiens (Human)	Metazoa	662	19
Q14520	Homo sapiens (Human)	Metazoa	560	23
Q14624	Homo sapiens (Human)	Metazoa	930	28
Q14773	Homo sapiens (Human)	Metazoa	271	30
Q14802	Homo sapiens (Human)	Metazoa	87	20
Q15084	Homo sapiens (Human)	Metazoa	440	19
Q15399	Homo sapiens (Human)	Metazoa	786	24
Q15465	Homo sapiens (Human)	Metazoa	462	23
Q15582	Homo sapiens (Human)	Metazoa	683	23
Q15762	Homo sapiens (Human)	Metazoa	336	18
Q15768	Homo sapiens (Human)	Metazoa	340	27
Q15848	Homo sapiens (Human)	Metazoa	244	18
Q16270	Homo sapiens (Human)	Metazoa	282	26
Q16552	Homo sapiens (Human)	Metazoa	155	23
Q16568	Homo sapiens (Human)	Metazoa	116	27
Q16602	Homo sapiens (Human)	Metazoa	461	22
Q16627	Homo sapiens (Human)	Metazoa	93	19
Q16663	Homo sapiens (Human)	Metazoa	113	21
Q16674	Homo sapiens (Human)	Metazoa	131	24
Q16790	Homo sapiens (Human)	Metazoa	459	37
Q17060	Apis mellifera (Honeybee)	Metazoa	544	20
Q1HLC0	Lonomia obliqua (Giant silkworm moth)	Metazoa	413	18
Q1RP78	Vipera nikolskii (Nikolsky's adder) (Vipera berus nikolskii)	Metazoa	138	16
Q1RP79	Vipera nikolskii (Nikolsky's adder) (Vipera berus nikolskii)	Metazoa	138	16
Q1XG90	Crassostrea virginica (Eastern oyster)	Metazoa	135	18
Q23997	Drosophila melanogaster (Fruit fly)	Metazoa	452	18
Q26241	Rhodnius prolixus (Triatomid bug)	Metazoa	202	23
Q26292	Leiurus hebraeus (Hebrew deathstalker scorpion) (Leiurus quinquestriatus hebraeus)	Metazoa	85	21
Q26377	Drosophila melanogaster (Fruit fly)	Metazoa	154	19
Q26994	Toxoplasma gondii	Other	179	17
Q27081	Tachypleus tridentatus (Japanese horseshoe crab)	Metazoa	400	23
Q27082	Tachypleus tridentatus (Japanese horseshoe crab)	Metazoa	673	19
Q27083	Tachypleus tridentatus (Japanese horseshoe crab)	Metazoa	309	31
Q27309	Bombyx mori (Silk moth)	Metazoa	1782	15
Q27908	Pinctada fucata (Akoya pearl oyster) (Pinctada imbricata fucata)	Metazoa	447	17
Q28143	Bos taurus (Bovine)	Metazoa	456	35
Q28173	Bos taurus (Bovine)	Metazoa	416	22
Q28270	Canis lupus familiaris (Dog) (Canis familiaris)	Metazoa	389	33
Q29011	Sus scrofa (Pig)	Metazoa	2434	16
Q29411	Sus scrofa (Pig)	Metazoa	383	21
Q29486	Felis catus (Cat) (Felis silvestris catus)	Metazoa	524	17
Q2PS07	Fagopyrum esculentum (Common buckwheat) (Polygonum fagopyrum)	Plants	149	22
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	Fungi	496	16
Q2VG86	Bombyx mori (Silk moth)	Metazoa	369	24
Q2YHJ2	Craspedocephalus borneensis (Borneo pit viper) (Trimeresurus borneensis)	Metazoa	138	16
Q2YHJ3	Craspedocephalus borneensis (Borneo pit viper) (Trimeresurus borneensis)	Metazoa	138	16
Q2YHJ6	Craspedocephalus puniceus (Flat-nosed pitviper) (Trimeresurus puniceus)	Metazoa	138	16
Q2YHJ7	Craspedocephalus puniceus (Flat-nosed pitviper) (Trimeresurus puniceus)	Metazoa	138	16
Q30154	Homo sapiens (Human)	Metazoa	266	29
Q3L1D1	Agaricus bisporus (White button mushroom)	Fungi	594	25
Q3L245	Macropsalliota meleagris (Western flat-topped agaric) (Leucoagaricus meleagris)	Fungi	602	25
Q3V1G4	Mus musculus (Mouse)	Metazoa	746	20
Q3Y5Z3	Bos taurus (Bovine)	Metazoa	240	17
Q40772	Phytolacca americana (American pokeweed) (Phytolacca decandra)	Plants	310	25
Q41358	Sambucus nigra (European elder)	Plants	570	28
Q41638	Phaseolus angularis (Azuki bean) (Vigna angularis)	Plants	292	20
Q42369	Lupinus angustifolius (Narrow-leaved blue lupine)	Plants	449	33
Q4PRD1	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	146	23
Q4PRD2	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	158	24
Q4V4I9	Drosophila melanogaster (Fruit fly)	Metazoa	182	22
Q4VRI5	Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan)	Metazoa	154	27
Q4W1I8	Zinnia elegans (Garden zinnia) (Zinnia violacea)	Plants	321	30
Q4W1I9	Zinnia elegans (Garden zinnia) (Zinnia violacea)	Plants	321	30
Q4WBS1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	Fungi	438	17
Q4WL81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	Fungi	234	20
Q52085	Heterostelium pallidum (Cellular slime mold) (Polysphondylium pallidum)	Other	320	19
Q53B58	Ophiophagus hannah (King cobra) (Naja hannah)	Metazoa	93	21
Q556R7	Dictyostelium discoideum (Social amoeba)	Other	303	24
Q55P57	Cryptococcus deneoformans (strain B-3501A) (Cryptococcus neoformans var. neoformans serotype D)	Fungi	624	20
Q55U20	Cryptococcus deneoformans (strain B-3501A) (Cryptococcus neoformans var. neoformans serotype D)	Fungi	458	51
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	Fungi	378	32
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	Fungi	533	21
Q5AMT2	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	Fungi	308	18
Q5B1W7	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	Fungi	385	18
Q5ECE3	Lonomia obliqua (Giant silkworm moth)	Metazoa	201	16
Q5I0E7	Rattus norvegicus (Rat)	Metazoa	235	37
Q5U9S1	Sus scrofa (Pig)	Metazoa	249	20
Q5UCC4	Homo sapiens (Human)	Metazoa	262	25
Q5XM24	Dictyostelium discoideum (Social amoeba)	Other	494	18
Q5ZPR3	Homo sapiens (Human)	Metazoa	534	28
Q60557	Mesocricetus auratus (Golden hamster)	Metazoa	671	21
Q60675	Mus musculus (Mouse)	Metazoa	3118	19
Q60736	Mus musculus (Mouse)	Metazoa	579	32
Q60994	Mus musculus (Mouse)	Metazoa	247	17
Q61001	Mus musculus (Mouse)	Metazoa	3718	40
Q61247	Mus musculus (Mouse)	Metazoa	491	27
Q61400	Mus musculus (Mouse)	Metazoa	265	33
Q61450	Mus musculus (Mouse)	Metazoa	303	23
Q61508	Mus musculus (Mouse)	Metazoa	559	19
Q61738	Mus musculus (Mouse)	Metazoa	1179	33
Q61789	Mus musculus (Mouse)	Metazoa	3330	31
Q61885	Mus musculus (Mouse)	Metazoa	246	28
Q62005	Mus musculus (Mouse)	Metazoa	623	20
Q62192	Mus musculus (Mouse)	Metazoa	661	20
Q62598	Rattus norvegicus (Rat)	Metazoa	687	17
Q62718	Rattus norvegicus (Rat)	Metazoa	344	32
Q62813	Rattus norvegicus (Rat)	Metazoa	338	28
Q62867	Rattus norvegicus (Rat)	Metazoa	317	24
Q63041	Rattus norvegicus (Rat)	Metazoa	1500	24
Q63180	Rattus norvegicus (Rat)	Metazoa	789	25
Q63372	Rattus norvegicus (Rat)	Metazoa	1530	30
Q63373	Rattus norvegicus (Rat)	Metazoa	468	46
Q63376	Rattus norvegicus (Rat)	Metazoa	662	46
Q63415	Rattus norvegicus (Rat)	Metazoa	937	45
Q63617	Rattus norvegicus (Rat)	Metazoa	999	32
Q64277	Mus musculus (Mouse)	Metazoa	311	24
Q64385	Mus musculus (Mouse)	Metazoa	432	23
Q64424	Myocastor coypus (Coypu) (Mus coypus)	Metazoa	470	18
Q64550	Rattus norvegicus (Rat)	Metazoa	535	29
Q64610	Rattus norvegicus (Rat)	Metazoa	887	27
Q6DWK3	Colletotrichum lindemuthianum (Bean anthracnose fungus) (Glomerella lindemuthiana)	Fungi	248	26
Q6E0U4	Homo sapiens (Human)	Metazoa	476	21
Q6EER2	Sistrurus tergeminus (Western massasauga) (Sistrurus catenatus tergeminus)	Metazoa	138	16
Q6EER4	Bothriechis schlegelii (Eyelash palm pitviper)	Metazoa	138	16
Q6EH50	Phytolacca heterotepala (Mexican pokeweed)	Plants	312	22
Q6H3C8	Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	Metazoa	138	16
Q6H3D0	Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	Metazoa	138	16
Q6IUU3	Rattus norvegicus (Rat)	Metazoa	750	32
Q6IWZ0	Aplysia californica (California sea hare)	Metazoa	535	18
Q6J4Q1	Apis mellifera (Honeybee)	Metazoa	683	21
Q6JK69	Bothrops atrox (Barba amarilla) (Fer-de-lance)	Metazoa	138	16
Q6PSU2	Arachis hypogaea (Peanut)	Plants	172	21
Q6PW77	Sarocladium strictum (Black bundle disease fungus) (Acremonium strictum)	Fungi	499	25
Q6QD51	Rattus norvegicus (Rat)	Metazoa	949	27
Q6STF1	Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	Metazoa	504	18
Q6TGQ8	Bothrops moojeni (Lance-headed viper) (Caissaca)	Metazoa	502	18
Q6UW15	Homo sapiens (Human)	Metazoa	175	26
Q6UW56	Homo sapiens (Human)	Metazoa	229	30
Q6UW88	Homo sapiens (Human)	Metazoa	154	22
Q6UWI2	Homo sapiens (Human)	Metazoa	310	20
Q6UWK7	Homo sapiens (Human)	Metazoa	81	24
Q6UWL6	Homo sapiens (Human)	Metazoa	708	20
Q6UWN5	Homo sapiens (Human)	Metazoa	251	25
Q6UWV6	Homo sapiens (Human)	Metazoa	458	21
Q6UWY2	Homo sapiens (Human)	Metazoa	283	31
Q6UX27	Homo sapiens (Human)	Metazoa	236	16
Q6UX39	Homo sapiens (Human)	Metazoa	209	16
Q6UX41	Homo sapiens (Human)	Metazoa	500	17
Q6UX46	Homo sapiens (Human)	Metazoa	152	24
Q6UXB2	Homo sapiens (Human)	Metazoa	119	21
Q6UXB8	Homo sapiens (Human)	Metazoa	463	27
Q6UXD5	Homo sapiens (Human)	Metazoa	910	27
Q6UXG3	Homo sapiens (Human)	Metazoa	332	18
Q6UXH1	Homo sapiens (Human)	Metazoa	353	24
Q6UXL0	Homo sapiens (Human)	Metazoa	311	29
Q6WN34	Homo sapiens (Human)	Metazoa	429	25
Q6X4U4	Homo sapiens (Human)	Metazoa	206	23
Q6YDN9	Brassica oleracea var. botrytis (Cauliflower)	Plants	295	23
Q6ZSA7	Homo sapiens (Human)	Metazoa	298	34
Q70SU8	Salmo salar (Atlantic salmon)	Metazoa	342	19
Q71DJ5	Arabidopsis thaliana (Mouse-ear cress)	Plants	393	20
Q71QE8	Crotalus viridis viridis (Prairie rattlesnake)	Metazoa	138	16
Q75N35	Dioscorea polystachya (Chinese yam)	Plants	272	25
Q76BW5	Oryza sativa subsp. japonica (Rice)	Plants	290	25
Q76CE8	Typhula ishikariensis (Gray snow mold fungus)	Fungi	243	20
Q76IQ4	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	Metazoa	111	26
Q7KRU8	Drosophila melanogaster (Fruit fly)	Metazoa	205	19
Q7L513	Homo sapiens (Human)	Metazoa	359	27
Q7SZI7	Xenopus laevis (African clawed frog)	Metazoa	1219	22
Q7SZN0	Pseudonaja textilis (Eastern brown snake)	Metazoa	1460	30
Q7T2R1	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	138	16
Q7TMF5	Mus musculus (Mouse)	Metazoa	413	20
Q7TQN3	Mus musculus (Mouse)	Metazoa	571	29
Q7YSJ4	Dictyostelium discoideum (Social amoeba)	Other	708	19
Q7YXD3	Androctonus mauritanicus mauritanicus (Scorpion)	Metazoa	85	19
Q7Z5A7	Homo sapiens (Human)	Metazoa	132	43
Q7ZT75	Xenopus laevis (African clawed frog)	Metazoa	315	19
Q7ZTA7	Crotalus lutosus abyssus (Grand Canyon rattlesnake) (Crotalus oreganus abyssus)	Metazoa	138	16
Q800C4	Crotalus viridis viridis (Prairie rattlesnake)	Metazoa	138	16
Q805A2	Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	Metazoa	138	16
Q805F3	Xenopus laevis (African clawed frog)	Metazoa	397	16
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae (Ornamental tobacco)	Plants	274	25
Q84ZX5	Artemisia vulgaris (Mugwort)	Plants	132	24
Q868Z9	Drosophila melanogaster (Fruit fly)	Metazoa	2898	26
Q86IV5	Dictyostelium discoideum (Social amoeba)	Other	258	21
Q86LE5	Rhipicephalus microplus (Cattle tick) (Boophilus microplus)	Metazoa	110	20
Q86QT3	Centruroides noxius (Mexican scorpion)	Metazoa	62	20
Q86T13	Homo sapiens (Human)	Metazoa	490	21
Q86WA6	Homo sapiens (Human)	Metazoa	291	37
Q86Y34	Homo sapiens (Human)	Metazoa	549	20
Q86Y78	Homo sapiens (Human)	Metazoa	171	22
Q86YD3	Homo sapiens (Human)	Metazoa	366	26
Q86YL7	Homo sapiens (Human)	Metazoa	162	22
Q86YT9	Homo sapiens (Human)	Metazoa	394	19
Q8AXY1	Bothrops jararacussu (Jararacussu)	Metazoa	138	16
Q8BHN3	Mus musculus (Mouse)	Metazoa	944	32
Q8BHP7	Mus musculus (Mouse)	Metazoa	681	32
Q8BK48	Mus musculus (Mouse)	Metazoa	559	26
Q8BPM6	Mus musculus (Mouse)	Metazoa	367	31
Q8BSU2	Mus musculus (Mouse)	Metazoa	246	26
Q8C1Q4	Mus musculus (Mouse)	Metazoa	291	21
Q8GT41	Platanus acerifolia (London plane tree) (Platanus orientalis x Platanus occidentalis)	Plants	179	23
Q8GTB6	Cannabis sativa (Hemp) (Marijuana)	Plants	545	28
Q8H8C7	Oryza sativa subsp. japonica (Rice)	Plants	356	28
