accession	organism	kingdom	length	tm_in_first_90
P25834	Rivina	Plants	480	False
P25838	Stegnosperma	Plants	482	False
P25839	Trianthema	Plants	480	False
P25848	Ceratodon	Plants	1307	False
P25873	Arabidopsis	Plants	277	False
P25931	melanogaster subgroup	Metazoa	464	False
P26259	Zea	Plants	380	False
P26267	Ascaris	Metazoa	396	False
P26490	Euglena	Other	475	False
P26958	Bryopsis	Plants	475	False
P26959	Cedrus	Plants	475	False
P26960	Keteleeria	Plants	475	False
P26961	Picea	Plants	475	False
P26962	Pinus subgen. Strobus	Plants	475	False
P26963	Pinus subgen. Strobus	Plants	475	False
P26964	Tsuga	Plants	475	False
P27065	Solanum subgen. Lycopersicon	Plants	477	False
P27066	Glycine subgen. Soja	Plants	475	False
P27198	unclassified Rhodomonas	Other	177	False
P27456	Lathyrus	Plants	552	False
P27489	Solanum subgen. Lycopersicon	Plants	265	False
P27490	Lathyrus	Plants	268	False
P27518	Gossypium	Plants	265	False
P27520	Lathyrus	Plants	265	False
P27570	Crithidia	Other	1239	False
P27608	Nicotiana	Plants	542	False
P27683	Spinacia	Plants	192	False
P27684	Spinacia	Plants	142	False
P27788	Zea	Plants	152	False
P27793	Capnoides	Plants	447	False
P27818	Brassica	Plants	655	False
P27819	Brassica	Plants	652	False
P27929	Saccharomyces cerevisiae	Fungi	486	False
P28186	Arabidopsis	Plants	216	False
P28232	Rattus	Metazoa	271	True
P28233	Rattus	Metazoa	286	True
P28235	Mus	Metazoa	333	True
P28239	Saccharomyces cerevisiae	Fungi	310	False
P28258	Angiopteris	Plants	475	False
P28260	Ipomoea	Plants	480	False
P28297	Arabidopsis	Plants	576	False
P28299	Neurospora crassa	Fungi	548	False
P28350	Neurospora crassa	Fungi	1093	False
P28381	Barnadesia	Plants	476	False
P28392	Clarkia	Plants	475	False
P28399	Digitalis	Plants	477	False
P28439	Pelargonium	Plants	475	False
P28441	Platanus	Plants	475	False
P28459	Viburnum	Plants	475	False
P28817	Saccharomyces cerevisiae	Fungi	500	False
P28877	Candida	Fungi	895	False
P29057	Hevea	Plants	575	True
P29102	Brassica	Plants	406	False
P29266	Rattus	Metazoa	335	False
P29344	Spinacia	Plants	411	False
P29418	Rattus	Metazoa	51	False
P29419	Rattus	Metazoa	71	False
P29677	Solanum	Plants	504	False
P29685	Hevea	Plants	562	False
P29696	Solanum	Plants	357	False
P29804	Sus	Metazoa	390	False
P29976	Arabidopsis	Plants	525	False
P30401	Cuscuta subgen. Monogynella	Plants	498	False
P30409	Chlorocebus	Metazoa	228	True
P30524	Hordeum	Plants	523	False
P30544	Xenopus	Metazoa	484	True
P30567	Gossypium	Plants	492	False
P30606	Saccharomyces cerevisiae	Fungi	609	False
P30732	Magnolia	Plants	475	False
P30775	Saccharomyces cerevisiae	Fungi	413	False
P30827	Liriodendron	Plants	476	False
P30829	Magnolia	Plants	475	False
P30830	Persea	Plants	477	False
P30924	Solanum	Plants	861	False
P30940	Rattus	Metazoa	366	True
P30943	unclassified Rhodomonas	Other	104	False
P30953	Homo	Metazoa	314	True
P30954	Homo	Metazoa	320	True
P30969	Rattus	Metazoa	327	True
P31161	Caenorhabditis	Metazoa	221	False
P31164	Spinacia	Plants	224	False
P31300	Capsicum	Plants	374	False
P31326	Aquarana	Metazoa	350	False
P31334	Saccharomyces cerevisiae	Fungi	269	False
P31399	Rattus	Metazoa	161	False
P31562	Cuscuta subgen. Monogynella	Plants	497	False
P31593	Nicotiana	Plants	478	False
P32048	Saccharomyces cerevisiae	Fungi	576	False
P32191	Saccharomyces cerevisiae	Fungi	649	False
P32331	Saccharomyces cerevisiae	Fungi	307	True
P32378	Saccharomyces cerevisiae	Fungi	372	False
P32387	Saccharomyces cerevisiae	Fungi	263	False
P32445	Saccharomyces cerevisiae	Fungi	135	False
P32463	Saccharomyces cerevisiae	Fungi	125	False
P32473	Saccharomyces cerevisiae	Fungi	366	False
P32559	Saccharomyces cerevisiae	Fungi	526	False
P32611	Saccharomyces cerevisiae	Fungi	393	False
P32761	Chlamydomonas	Plants	218	False
P32785	Saccharomyces cerevisiae	Fungi	401	False
P32786	Saccharomyces cerevisiae	Fungi	894	False
P32787	Saccharomyces cerevisiae	Fungi	269	False
P32843	Saccharomyces cerevisiae	Fungi	850	False
P32875	Saccharomyces cerevisiae	Fungi	414	False
P32891	Saccharomyces cerevisiae	Fungi	587	False
P32903	Saccharomyces cerevisiae	Fungi	40	True
P32904	Saccharomyces cerevisiae	Fungi	214	False
P32907	Saccharomyces cerevisiae	Fungi	282	True
P32962	Arabidopsis	Plants	339	False
P33075	Schizosaccharomyces pombe	Fungi	220	False
P33282	Emericella nidulans	Fungi	301	False
P33311	Saccharomyces cerevisiae	Fungi	773	False
P33447	Schizotrypanum	Other	416	False
P33750	Saccharomyces cerevisiae	Fungi	489	False
P33759	Saccharomyces cerevisiae	Fungi	307	False
P34511	Caenorhabditis	Metazoa	618	False
P34893	Arabidopsis	Plants	98	False
P34915	Physcomitrium	Plants	475	False
P34979	Bos	Metazoa	417	True
P34993	Bos	Metazoa	368	True
P34994	Sus	Metazoa	369	True
P34996	Gallus	Metazoa	362	True
P34997	Rattus	Metazoa	374	True
P35191	Saccharomyces cerevisiae	Fungi	511	False
P35344	Oryctolagus	Metazoa	358	True
P35345	Rattus	Metazoa	325	True
P35381	melanogaster subgroup	Metazoa	552	False
P35435	Rattus	Metazoa	273	False
P35449	Caenorhabditis	Metazoa	667	True
P35571	Rattus	Metazoa	727	False
P35731	Saccharomyces cerevisiae	Fungi	278	False
P35996	Saccharomyces cerevisiae	Fungi	138	False
P36013	Saccharomyces cerevisiae	Fungi	669	False
P36023	Saccharomyces cerevisiae	Fungi	863	False
P36064	Saccharomyces cerevisiae	Fungi	111	False
P36144	Saccharomyces cerevisiae	Fungi	274	False
P36168	Saccharomyces cerevisiae	Fungi	1195	False
P36169	Saccharomyces cerevisiae	Fungi	355	True
P36173	Saccharomyces cerevisiae	Fungi	615	True
P36413	Dictyostelium	Other	635	False
P36444	Flaveria	Plants	647	False
P36476	Adiantum	Plants	475	False
P36516	Saccharomyces cerevisiae	Fungi	390	False
P36519	Saccharomyces cerevisiae	Fungi	292	False
P36520	Saccharomyces cerevisiae	Fungi	322	False
P36521	Saccharomyces cerevisiae	Fungi	249	False
P36523	Saccharomyces cerevisiae	Fungi	253	False
P36525	Saccharomyces cerevisiae	Fungi	258	False
P36526	Saccharomyces cerevisiae	Fungi	146	False
P36527	Saccharomyces cerevisiae	Fungi	147	False
P36528	Saccharomyces cerevisiae	Fungi	281	False
P36532	Saccharomyces cerevisiae	Fungi	105	False
P36533	Saccharomyces cerevisiae	Fungi	70	False
P37208	Porphyridium	Other	172	False
P37216	Solanum subgen. Lycopersicon	Plants	541	False
P37229	Sorghum	Plants	432	False
P37399	Daucus sect. Daucus	Plants	547	False
P38064	Saccharomyces cerevisiae	Fungi	232	False
P38065	Saccharomyces cerevisiae	Fungi	1025	False
P38114	Saccharomyces cerevisiae	Fungi	1094	False
P38126	Saccharomyces cerevisiae	Fungi	564	False
P38162	Saccharomyces cerevisiae	Fungi	196	False
P38175	Saccharomyces cerevisiae	Fungi	177	False
P38204	Saccharomyces cerevisiae	Fungi	145	False
P38228	Saccharomyces cerevisiae	Fungi	572	False
P38278	Saccharomyces cerevisiae	Fungi	337	False
P38300	Saccharomyces cerevisiae	Fungi	278	False
P38365	Spinacia	Plants	174	False
P38674	Neurospora crassa	Fungi	402	False
P38687	Saccharomyces cerevisiae	Fungi	599	False
P38705	Saccharomyces cerevisiae	Fungi	446	False
P38727	Saccharomyces cerevisiae	Fungi	235	True
P38783	Saccharomyces cerevisiae	Fungi	130	False
P38789	Saccharomyces cerevisiae	Fungi	453	False
P38812	Saccharomyces cerevisiae	Fungi	185	False
P38816	Saccharomyces cerevisiae	Fungi	342	False
P38818	Saccharomyces cerevisiae	Fungi	585	False
P38824	Saccharomyces cerevisiae	Fungi	151	False
P38860	Saccharomyces cerevisiae	Fungi	518	False
P38876	Saccharomyces cerevisiae	Fungi	190	False
P38880	Saccharomyces cerevisiae	Fungi	579	False
P38909	Saccharomyces cerevisiae	Fungi	366	False
P38913	Saccharomyces cerevisiae	Fungi	306	False
P38921	Saccharomyces cerevisiae	Fungi	284	True
P38988	Saccharomyces cerevisiae	Fungi	300	True
P39103	Saccharomyces cerevisiae	Fungi	70	True
P39535	Saccharomyces cerevisiae	Fungi	881	False
P39677	Saccharomyces cerevisiae	Fungi	819	False
P39724	Saccharomyces cerevisiae	Fungi	118	False
P39987	Saccharomyces cerevisiae	Fungi	644	False
P39994	Saccharomyces cerevisiae	Fungi	560	False
P40007	Saccharomyces cerevisiae	Fungi	231	False
P40012	Saccharomyces cerevisiae	Fungi	539	False
P40033	Saccharomyces cerevisiae	Fungi	138	False
P40035	Saccharomyces cerevisiae	Fungi	300	True
P40043	Saccharomyces cerevisiae	Fungi	161	False
P40051	Saccharomyces cerevisiae	Fungi	511	False
P40079	Saccharomyces cerevisiae	Fungi	357	False
P40085	Saccharomyces cerevisiae	Fungi	556	True
P40099	Saccharomyces cerevisiae	Fungi	211	False
P40155	Saccharomyces cerevisiae	Fungi	199	True
P40165	Saccharomyces cerevisiae	Fungi	246	False
P40169	Saccharomyces cerevisiae	Fungi	301	True
P40185	Saccharomyces cerevisiae	Fungi	145	False
P40215	Saccharomyces cerevisiae	Fungi	560	False
P40229	Arabidopsis	Plants	282	False
P40474	Saccharomyces cerevisiae	Fungi	542	True
P40475	Saccharomyces cerevisiae	Fungi	563	True
P40493	Saccharomyces cerevisiae	Fungi	336	False
P40513	Saccharomyces cerevisiae	Fungi	266	False
P40528	Saccharomyces cerevisiae	Fungi	902	False
P40546	Saccharomyces cerevisiae	Fungi	346	False
P40576	Saccharomyces cerevisiae	Fungi	216	True
P40858	Saccharomyces cerevisiae	Fungi	161	False
P40897	Saccharomyces cerevisiae	Fungi	799	False
P40915	Neurospora crassa	Fungi	263	False
P40975	Saccharomyces cerevisiae	Fungi	43	True
P41144	Cavia	Metazoa	380	True
P41343	Mesembryanthemum subgen. Cryophytum	Plants	365	False
P41347	Zea	Plants	152	False
P41349	Spinacia	Plants	148	False
P41563	Bos	Metazoa	366	False
P41621	Pinus subgen. Pinus	Plants	475	False
P41819	Saccharomyces cerevisiae	Fungi	318	False
P41891	Schizosaccharomyces pombe	Fungi	500	False
P41930	Saccharomyces cerevisiae	Fungi	458	True
P41977	Caenorhabditis	Metazoa	218	False
P42159	Geodia	Metazoa	605	True
P42732	Arabidopsis	Plants	169	False
P42846	Saccharomyces cerevisiae	Fungi	591	False
P42847	Saccharomyces cerevisiae	Fungi	217	False
P42900	Saccharomyces cerevisiae	Fungi	643	False
P43116	Homo	Metazoa	358	True
P43117	Mus	Metazoa	366	True
P43118	Rattus	Metazoa	366	True
P43141	Meleagris	Metazoa	428	True
P43165	Rattus	Metazoa	304	False
P43188	Zea	Plants	222	False
P43210	Glycine subgen. Soja	Plants	412	False
P43279	Oryza sativa	Plants	639	False
P43311	Vitis	Plants	607	False
P43582	Saccharomyces cerevisiae	Fungi	211	False
P43606	Saccharomyces cerevisiae	Fungi	678	False
P45738	Helianthus	Plants	485	False
P46010	Arabidopsis	Plants	346	False
P46225	Secale	Plants	298	False
P46275	Lathyrus	Plants	407	False
P46312	Arabidopsis	Plants	448	False
P46408	Oryctolagus	Metazoa	486	True
P46416	Arabidopsis	Plants	539	False
P46626	Bos	Metazoa	405	True
P46820	Stellaria	Plants	475	False
P47045	Saccharomyces cerevisiae	Fungi	478	True
P47108	Saccharomyces cerevisiae	Fungi	1174	False
P47150	Saccharomyces cerevisiae	Fungi	247	False
P47158	Saccharomyces cerevisiae	Fungi	497	False
P47747	Cavia	Metazoa	359	True
P47802	Mus	Metazoa	317	False
P47883	Homo	Metazoa	348	True
P47887	Homo	Metazoa	323	True
P47888	Homo	Metazoa	321	True
P47890	Homo	Metazoa	313	True
P47893	Homo	Metazoa	321	True
P47910	Spinacia	Plants	101	False
P47946	Schizosaccharomyces pombe	Fungi	841	True
P48015	Saccharomyces cerevisiae	Fungi	400	False
P48042	Bos	Metazoa	373	True
P48043	Ovis	Metazoa	418	True
P48234	Saccharomyces cerevisiae	Fungi	707	False
P48239	Saccharomyces cerevisiae	Fungi	356	False
P48268	Chlamydomonas	Plants	82	True
P48329	Cyanophora	Other	180	False
P48499	Leishmania mexicana species complex	Other	251	False
P48503	Neurospora crassa	Fungi	107	True
P48525	Saccharomyces cerevisiae	Fungi	536	False
P48527	Saccharomyces cerevisiae	Fungi	492	False
P48529	Arabidopsis	Plants	305	False
P48682	Amaranthus	Plants	475	False
P48683	Ananas	Plants	479	False
P48684	Avena	Plants	477	False
P48686	Brassica	Plants	479	False
P48688	Carica	Plants	475	False
P48689	Carthamus	Plants	477	False
P48690	Castanea	Plants	475	False
P48693	Cichorium	Plants	477	False
P48694	Coffea	Plants	481	False
P48696	Cryptomeria	Plants	475	False
P48702	Equisetum	Plants	475	False
P48706	Lactuca	Plants	477	False
P48709	Nicotiana	Plants	477	False
P48711	Picea	Plants	475	False
P48713	Populus	Plants	475	False
P48714	Psilotum	Plants	475	False
P48716	Spirogyra	Plants	475	False
P48718	Viscum	Plants	475	False
P48719	Welwitschia	Plants	475	False
P48746	Oryctolagus	Metazoa	1237	False
P48771	Mus	Metazoa	83	True
P49027	Oryza sativa	Plants	334	False
P49085	Zea	Plants	410	False
P49133	Zea	Plants	409	False
P49145	Oryctolagus	Metazoa	377	True
P49285	Gallus	Metazoa	353	True
P49288	Gallus	Metazoa	346	True
P49361	Flaveria	Plants	1037	False
P49362	Flaveria	Plants	1034	False
P49364	Lathyrus	Plants	408	False
P49367	Saccharomyces cerevisiae	Fungi	693	False
P49380	Kluyveromyces lactis	Fungi	899	False
P49406	Homo	Metazoa	292	False
P49428	Komagataella	Fungi	204	False
P49578	Gallus	Metazoa	639	False
P49652	Meleagris	Metazoa	362	True
P49660	Mus	Metazoa	385	True
P50140	Caenorhabditis	Metazoa	568	False
P50142	Histoplasma	Fungi	590	False
P50161	Aspergillus parasiticus	Fungi	262	False
P50433	Solanum	Plants	518	False
P50546	Arabidopsis	Plants	1072	False
P50896	Saccharomyces cerevisiae	Fungi	841	False
P51101	Gerbera	Plants	477	False
P51177	Bos	Metazoa	204	False
P51333	Porphyra	Other	568	False
P51412	Arabidopsis	Plants	220	False
P51914	Xenopus	Metazoa	352	True
P51998	Saccharomyces cerevisiae	Fungi	286	False
P52410	Arabidopsis	Plants	473	False
P52901	Arabidopsis	Plants	389	False
P52903	Solanum	Plants	391	False
P53123	Saccharomyces cerevisiae	Fungi	320	False
P53136	Saccharomyces cerevisiae	Fungi	463	False
P53188	Saccharomyces cerevisiae	Fungi	120	False
P53203	Saccharomyces cerevisiae	Fungi	462	False
P53220	Saccharomyces cerevisiae	Fungi	239	True
P53233	Saccharomyces cerevisiae	Fungi	369	False
P53239	Saccharomyces cerevisiae	Fungi	316	False
P53260	Saccharomyces cerevisiae	Fungi	183	False
P53266	Saccharomyces cerevisiae	Fungi	389	True
P53283	Saccharomyces cerevisiae	Fungi	614	False
P53312	Saccharomyces cerevisiae	Fungi	427	False
P53313	Saccharomyces cerevisiae	Fungi	767	False
P53437	Saccharomyces cerevisiae	Fungi	365	False
P53453	Takifugu	Metazoa	463	True
P53535	Solanum	Plants	974	False
P53536	Vicia	Plants	1003	False
P53698	Candida albicans	Fungi	110	False
P53732	Saccharomyces cerevisiae	Fungi	153	False
P53763	Phaseolus	Plants	308	False
P53808	Mus	Metazoa	214	False
P53835	Saccharomyces cerevisiae	Fungi	661	True
P53875	Saccharomyces cerevisiae	Fungi	158	False
P53881	Saccharomyces cerevisiae	Fungi	309	False
P53889	Saccharomyces cerevisiae	Fungi	259	False
P53921	Saccharomyces cerevisiae	Fungi	115	False
P53937	Saccharomyces cerevisiae	Fungi	143	False
P53944	Saccharomyces cerevisiae	Fungi	314	False
P53991	Chlamydomonas	Plants	354	False
P54003	Saccharomyces cerevisiae	Fungi	302	True
P54898	Neurospora crassa	Fungi	871	False
P54964	Saccharomyces cerevisiae	Fungi	269	False
P55231	Arabidopsis	Plants	521	False
P55233	Beta	Plants	522	False
P55243	Solanum	Plants	483	False
P55919	Gorilla gorilla	Metazoa	350	True
P55920	Pan	Metazoa	350	True
P56277	Homo	Metazoa	68	False
P56286	Schizosaccharomyces pombe	Fungi	306	False
P56288	Schizosaccharomyces pombe	Fungi	458	False
P56391	Mus	Metazoa	86	False
P56471	Sus	Metazoa	366	False
P56490	Macaca	Metazoa	532	True
P56647	Setaria	Plants	476	False
P56648	Vitis	Plants	475	False
P56785	Arabidopsis	Plants	1786	True
P56804	Arabidopsis	Plants	100	False
P57728	Schizosaccharomyces pombe	Fungi	148	False
P57736	Tetradesmus	Plants	89	False
P57744	Saccharomyces cerevisiae	Fungi	87	False
P58182	Homo	Metazoa	307	True
P58234	Schizosaccharomyces pombe	Fungi	144	False
P58392	Sus	Metazoa	724	False
P58545	Mus	Metazoa	530	False
P59537	Homo	Metazoa	309	True
P59540	Homo	Metazoa	309	True
P59856	Pyropia	Other	161	False
P59857	Pyropia	Other	161	False
P60021	Pan	Metazoa	359	True
P61293	Magnolia	Plants	475	False
P61752	Pongo	Metazoa	359	True
P61841	Arabidopsis	Plants	155	False
P62126	Arabidopsis	Plants	123	False
P62128	Spinacia	Plants	123	False
P62684	Homo	Metazoa	666	False
P62895	Sus	Metazoa	105	False
P63126	Homo	Metazoa	666	False
P63130	Homo	Metazoa	666	False
P63145	Homo	Metazoa	666	False
P67882	Meleagris	Metazoa	105	False
P68096	Equus quagga	Metazoa	105	False
P68097	Equus	Metazoa	105	False
P68098	Lama	Metazoa	105	False
P68099	Camelus	Metazoa	105	False
P68100	Eschrichtius	Metazoa	105	False
P68209	Arabidopsis	Plants	347	False
P68517	Crotalus	Metazoa	105	False
P68518	Crotalus	Metazoa	105	False
P68519	Crotalus viridis	Metazoa	105	False
P69242	Nicotiana	Plants	977	False
P69447	Spinacia	Plants	81	True
P69555	Triticum	Plants	73	True
P69570	Larix	Plants	475	False
P69571	Pseudotsuga	Plants	475	False
P69682	Rattus	Metazoa	277	False
P70079	Gallus	Metazoa	417	False
P70426	Mus	Metazoa	219	False
P70612	Rattus	Metazoa	349	True
P78586	Candida	Fungi	857	False
P78723	Ogataea	Fungi	351	False
P78780	Schizosaccharomyces pombe	Fungi	357	False
P78859	Schizosaccharomyces pombe	Fungi	190	False
P78946	Schizosaccharomyces pombe	Fungi	126	False
P79071	Schizosaccharomyces pombe	Fungi	195	False
P79393	Bos	Metazoa	385	True
P79928	Xenopus	Metazoa	537	True
P80235	Saccharomyces cerevisiae	Fungi	687	False
P81280	Alligator	Metazoa	105	False
P81451	Saccharomyces cerevisiae	Fungi	68	True
P81558	Sus	Metazoa	171	False
P81760	Arabidopsis	Plants	236	False
P81766	Spinacia	Plants	153	False
P82024	Spinacia	Plants	180	False
P82129	Spinacia	Plants	155	False
P82130	Spinacia	Plants	183	False
P82139	Spinacia	Plants	232	False
P82163	Spinacia	Plants	172	False
P82180	Spinacia	Plants	196	False
P82190	Spinacia	Plants	194	False
P82248	Spinacia	Plants	168	False
P82264	Chaenocephalus	Metazoa	504	False
P82277	Spinacia	Plants	260	False
P82278	Spinacia	Plants	208	False
P82403	Spinacia	Plants	211	False
P82413	Spinacia	Plants	233	False
P82611	Candida albicans	Fungi	777	False
P82663	Homo	Metazoa	173	False
P82673	Homo	Metazoa	323	False
P82675	Homo	Metazoa	430	False
P82869	Arabidopsis	Plants	466	False
P82908	Bos	Metazoa	103	False
P82911	Bos	Metazoa	197	False
P82912	Homo	Metazoa	194	False
P82913	Bos	Metazoa	256	False
P82914	Homo	Metazoa	257	False
P82918	Bos	Metazoa	258	False
P82921	Homo	Metazoa	87	False
P82922	Bos	Metazoa	397	False
P82931	Bos	Metazoa	124	False
P82933	Homo	Metazoa	396	False
P83456	Gadus	Metazoa	477	False
P83487	Equus	Metazoa	172	False
P83858	Rattus	Metazoa	433	True
P87168	Schizosaccharomyces pombe	Fungi	678	False
P87241	Schizosaccharomyces pombe	Fungi	405	False
P87889	Homo	Metazoa	666	False
P90520	Dictyostelium	Other	1284	False
P90551	Leishmania mexicana species complex	Other	366	False
P90745	Caenorhabditis	Metazoa	376	True
P91027	Caenorhabditis	Metazoa	338	False
P91622	melanogaster subgroup	Metazoa	413	False
P92504	Ascaris	Metazoa	112	False
P92547	Arabidopsis	Plants	349	False
P92969	Arabidopsis	Plants	976	False
P93009	Arabidopsis	Plants	182	False
P93032	Arabidopsis	Plants	367	False
P93286	Arabidopsis	Plants	442	True
P93298	Arabidopsis	Plants	385	False
P93303	Arabidopsis	Plants	158	True
P93306	Arabidopsis	Plants	394	False
P93313	Arabidopsis	Plants	495	True
P93407	Oryza sativa	Plants	211	False
P93568	Solanum	Plants	641	False
P93648	Zea	Plants	964	False
P93664	Chlamydomonas	Plants	253	True
P97376	Mus	Metazoa	258	False
P97450	Mus	Metazoa	108	False
P97576	Rattus	Metazoa	217	False
P97696	Rattus	Metazoa	400	False
P97739	Cavia	Metazoa	754	True
P99998	Pan	Metazoa	105	False
P9WEU3	Cryptococcus deuterogattii	Fungi	1529	False
P9WEU4	Cryptococcus deuterogattii	Fungi	1542	False
P9WEY3	Penicillium	Fungi	707	False
Q00218	Arabidopsis	Plants	507	False
Q00361	Bos	Metazoa	71	False
Q00433	unclassified Rhodomonas	Other	128	False
Q00471	Chlamydomonas	Plants	215	True
Q00583	Hevea	Plants	586	True
Q00873	Saccharomyces cerevisiae	Fungi	224	False
Q00922	Ogataea/Candida clade	Fungi	663	False
Q01163	Saccharomyces cerevisiae	Fungi	450	False
Q01345	Oncorhynchus	Metazoa	759	True
Q01613	Xenopus	Metazoa	1420	False
Q01802	Saccharomyces cerevisiae	Fungi	451	False
Q01859	Oryza sativa	Plants	552	False
Q01873	Liquidambar	Plants	475	False
Q01874	Quercus	Plants	475	False
Q02073	Spinacia	Plants	255	False
Q02204	Saccharomyces cerevisiae	Fungi	264	False
Q02284	Mus	Metazoa	366	True
Q02335	Caenorhabditis	Metazoa	569	True
Q02739	Mus	Metazoa	271	True
Q02783	Saccharomyces cerevisiae	Fungi	413	False
Q02825	Saccharomyces cerevisiae	Fungi	467	False
Q02969	Saccharomyces cerevisiae	Fungi	394	False
Q02983	Saccharomyces cerevisiae	Fungi	363	False
Q03028	Saccharomyces cerevisiae	Fungi	310	True
Q03079	Saccharomyces cerevisiae	Fungi	207	False
Q03151	Saccharomyces cerevisiae	Fungi	367	False
Q03327	Saccharomyces cerevisiae	Fungi	502	False
Q03370	Saccharomyces cerevisiae	Fungi	554	False
Q03429	Saccharomyces cerevisiae	Fungi	123	False
Q03430	Saccharomyces cerevisiae	Fungi	361	False
Q03694	Saccharomyces cerevisiae	Fungi	420	False
Q03824	Saccharomyces cerevisiae	Fungi	705	False
Q03829	Saccharomyces cerevisiae	Fungi	368	True
Q04006	Saccharomyces cerevisiae	Fungi	179	False
Q04031	Saccharomyces cerevisiae	Fungi	235	False
Q04172	Saccharomyces cerevisiae	Fungi	456	False
Q04279	Saccharomyces cerevisiae	Fungi	960	False
Q04613	Arabidopsis	Plants	192	True
Q04675	Saccharomyces cerevisiae	Fungi	128	False
Q04712	Saccharomyces cerevisiae	Fungi	507	False
Q04952	Saccharomyces cerevisiae	Fungi	1785	False
Q05024	Saccharomyces cerevisiae	Fungi	226	False
Q05043	Saccharomyces cerevisiae	Fungi	376	False
Q05050	Saccharomyces cerevisiae	Fungi	843	False
Q05131	Saccharomyces cerevisiae	Fungi	434	True
Q05145	Mesembryanthemum subgen. Cryophytum	Plants	441	False
Q05394	Oryctolagus	Metazoa	352	True
Q05518	Saccharomyces cerevisiae	Fungi	499	False
Q05728	Arabidopsis	Plants	389	False
Q05779	Saccharomyces cerevisiae	Fungi	260	False
Q05798	Ceratophyllum	Plants	475	False
Q05809	Saccharomyces cerevisiae	Fungi	96	False
Q05825	melanogaster subgroup	Metazoa	505	False
Q05892	Saccharomyces cerevisiae	Fungi	277	False
Q058P6	Arabidopsis	Plants	447	False
Q05942	Saccharomyces cerevisiae	Fungi	220	False
Q06021	Alnus	Plants	475	False
Q06022	Betula	Plants	475	False
Q06023	Carpinus	Plants	475	False
Q06024	Corylus	Plants	475	False
Q06025	Ostrya	Plants	475	False
Q06056	Ovis	Metazoa	143	True
Q06090	Saccharomyces cerevisiae	Fungi	140	False
Q06116	Saccharomyces cerevisiae	Fungi	2489	True
Q06236	Saccharomyces cerevisiae	Fungi	168	True
Q06244	Saccharomyces cerevisiae	Fungi	254	False
Q06315	Saccharomyces cerevisiae	Fungi	1026	False
Q06344	Saccharomyces cerevisiae	Fungi	628	False
Q06405	Saccharomyces cerevisiae	Fungi	101	False
Q06434	unclassified Antithamnion	Other	1536	False
Q06451	Saccharomyces cerevisiae	Fungi	622	False
Q06497	Saccharomyces cerevisiae	Fungi	328	True
Q06511	Saccharomyces cerevisiae	Fungi	250	False
Q06567	Saccharomyces cerevisiae	Fungi	569	True
Q06631	Saccharomyces cerevisiae	Fungi	534	False
Q06668	Saccharomyces cerevisiae	Fungi	471	False
Q06678	Saccharomyces cerevisiae	Fungi	367	False
Q06683	Saccharomyces cerevisiae	Fungi	689	False
Q06892	Saccharomyces cerevisiae	Fungi	414	False
Q06991	Saccharomyces cerevisiae	Fungi	263	True
Q06GQ2	Piper	Plants	475	False
Q06GY9	Drimys	Plants	478	False
Q07053	Crithidia	Other	128	False
Q07066	Rattus	Metazoa	194	True
Q07500	Saccharomyces cerevisiae	Fungi	545	False
Q07511	Solanum	Plants	381	False
Q07534	Saccharomyces cerevisiae	Fungi	307	True
Q07623	Saccharomyces cerevisiae	Fungi	225	False
Q07799	Saccharomyces cerevisiae	Fungi	665	False
Q07803	Rattus	Metazoa	751	False
Q07844	Saccharomyces cerevisiae	Fungi	837	False
Q07DZ3	Colobus	Metazoa	162	False
Q08047	Zea	Plants	799	False
Q08058	Saccharomyces cerevisiae	Fungi	207	False
Q08062	Zea	Plants	332	False
Q08157	Saccharomyces cerevisiae	Fungi	551	True
Q08176	Saccharomyces cerevisiae	Fungi	113	True
Q08287	Saccharomyces cerevisiae	Fungi	484	False
Q08436	Nicotiana	Plants	956	True
Q08470	Drosophila pseudoobscura	Metazoa	1166	False
Q08580	Saccharomyces cerevisiae	Fungi	376	False
Q08622	Saccharomyces cerevisiae	Fungi	556	False
Q08742	Saccharomyces cerevisiae	Fungi	149	False
Q08822	Saccharomyces cerevisiae	Fungi	631	False
Q08902	Saccharomyces cerevisiae	Fungi	515	True
Q08913	Saccharomyces cerevisiae	Fungi	375	True
Q08991	Saccharomyces cerevisiae	Fungi	375	True
Q08DM6	Bos	Metazoa	258	False
Q09099	Chlorolobion	Plants	89	False
Q09130	Schizosaccharomyces pombe	Fungi	446	False
Q09171	Schizosaccharomyces pombe	Fungi	366	False
Q09669	Schizosaccharomyces pombe	Fungi	379	False
Q09719	Schizosaccharomyces pombe	Fungi	848	False
Q09852	Schizosaccharomyces pombe	Fungi	559	True
Q09903	Schizosaccharomyces pombe	Fungi	714	False
Q09MH0	Citrus	Plants	475	False
Q09QM4	Rattus	Metazoa	339	True
Q09X09	Morus	Plants	475	False
Q0D7I3	Oryza sativa	Plants	509	False
Q0DC89	Oryza sativa	Plants	214	False
Q0DI31	Oryza sativa	Plants	112	False
Q0E3C8	Oryza sativa	Plants	983	False
Q0E3V2	Oryza sativa	Plants	165	False
Q0EEE2	Mus	Metazoa	906	False
Q0G9V4	Daucus sect. Daucus	Plants	475	False
Q0GA42	Mus	Metazoa	951	True
Q0H8Y1	Mycosarcoma	Fungi	536	True
Q0IIE0	Bos	Metazoa	158	False
